customer_key,time_key,geo_key,segment_key,balance,estimated_salary,num_of_products,credit_score,has_credit_card,is_active_member,churn_flag
1,1,1,6,0.0,101348.88,1,619,1,1,1
2,1,3,6,83807.86,112542.58,1,608,0,1,0
3,1,1,6,159660.8,113931.57,3,502,1,0,1
4,1,1,6,0.0,93826.63,2,699,0,0,0
5,1,3,6,125510.82,79084.1,1,850,1,1,0
6,1,3,4,113755.78,149756.71,2,645,1,0,1
7,1,1,8,0.0,10062.8,2,822,1,1,0
8,1,2,3,115046.74,119346.88,4,376,1,0,1
9,1,1,6,142051.07,74940.5,2,501,0,1,0
10,1,1,3,134603.88,71725.73,1,684,1,1,0
11,1,1,3,102016.72,80181.12,2,528,0,0,0
12,1,3,12,0.0,76390.01,2,497,1,0,0
13,1,1,2,0.0,26260.98,2,476,1,0,0
14,1,1,10,0.0,190857.79,2,549,0,0,0
15,1,3,2,0.0,65951.65,2,635,1,1,0
16,1,2,5,143129.41,64327.26,2,616,0,1,0
17,1,2,14,132602.88,5097.67,1,653,1,0,1
18,1,3,11,0.0,14406.41,2,549,1,1,0
19,1,3,4,0.0,158684.81,1,587,0,0,0
20,1,1,11,0.0,54724.03,2,726,1,1,0
21,1,1,4,0.0,170886.17,2,732,1,1,0
22,1,3,1,0.0,138555.46,2,636,1,0,0
23,1,3,6,0.0,118913.53,1,510,1,0,1
24,1,1,8,0.0,8487.75,2,669,0,1,0
25,1,1,4,0.0,187616.16,1,846,1,1,0
26,1,1,12,0.0,124508.29,2,577,0,1,0
27,1,2,4,136815.64,170041.95,1,756,1,1,0
28,1,1,5,0.0,38433.35,2,571,0,0,0
29,1,2,6,141349.43,100187.43,1,574,1,1,0
30,1,1,2,59697.17,53483.21,2,411,1,1,0
31,1,3,4,0.0,140469.38,3,591,1,0,1
32,1,1,4,85311.7,156731.91,1,533,0,1,0
33,1,2,6,110112.54,81898.81,2,553,0,0,0
34,1,3,5,0.0,34410.55,2,520,1,1,0
35,1,3,1,0.0,142033.07,2,722,1,1,0
36,1,1,5,134264.04,27822.99,1,475,1,0,1
37,1,3,3,145260.23,114066.77,1,490,0,1,0
38,1,3,3,76548.6,98453.45,1,804,0,1,0
39,1,1,5,0.0,40812.9,1,850,1,1,0
40,1,2,4,70349.48,178074.04,2,582,0,1,0
41,1,3,6,0.0,70154.22,1,472,1,0,0
42,1,1,7,122522.32,181297.65,1,465,0,0,1
43,1,1,15,117419.35,94153.83,1,556,1,1,0
44,1,1,7,131394.56,194365.76,1,834,0,0,1
45,1,3,13,155931.11,158338.39,1,660,1,1,0
46,1,2,3,109421.13,126517.46,2,776,1,1,0
47,1,2,3,112045.67,119708.21,1,829,1,1,1
48,1,2,6,137843.8,117622.8,1,637,1,1,1
49,1,2,6,103391.38,90878.13,1,550,0,1,0
50,1,2,4,103769.22,194099.12,2,776,1,0,0
51,1,2,4,116363.37,198059.16,2,698,1,0,0
52,1,2,6,146050.97,86424.57,2,585,0,0,0
53,1,1,3,0.0,116978.19,2,788,0,0,0
54,1,2,4,125561.97,164040.94,1,655,0,0,1
55,1,2,5,98495.72,40014.76,1,601,1,0,1
56,1,1,6,125211.92,113410.49,1,619,1,1,0
57,1,1,6,127864.4,87107.57,1,656,1,0,0
58,1,2,11,75888.2,45613.75,1,725,0,0,0
59,1,3,14,0.0,1643.11,1,511,1,0,1
60,1,1,8,40685.92,46775.28,1,614,1,1,0
61,1,2,3,136857.0,84509.57,1,742,0,0,0
62,1,2,3,152328.88,126494.82,2,687,0,0,0
63,1,3,1,56084.69,178798.13,2,555,0,0,0
64,1,3,15,78707.16,99398.36,1,684,1,1,0
65,1,2,3,109166.37,92840.67,1,603,1,1,0
66,1,2,5,169831.46,27758.36,2,751,1,1,0
67,1,2,3,101633.04,110431.51,1,581,1,0,0
68,1,2,4,123180.01,196673.28,2,735,1,1,0
69,1,2,3,150725.53,113656.85,2,661,0,1,0
70,1,1,11,98373.26,18203.0,1,675,1,0,0
71,1,2,14,133745.44,28373.86,4,738,1,0,1
72,1,1,2,0.0,33953.87,1,813,1,0,0
73,1,3,5,163607.18,44203.55,1,657,0,1,0
74,1,2,11,157780.84,58426.81,2,604,1,1,0
75,1,1,4,0.0,145562.4,2,519,0,1,0
76,1,1,11,178718.19,22388.0,2,735,1,0,0
77,1,1,7,0.0,139161.64,2,664,1,1,0
78,1,1,1,0.0,148210.64,1,678,1,1,0
79,1,3,1,77253.22,194239.63,1,757,0,1,0
80,1,2,6,122189.66,98301.61,2,416,1,0,0
81,1,1,1,96645.54,171413.66,2,665,0,0,0
82,1,1,1,0.0,136458.19,1,777,1,0,1
83,1,1,5,0.0,26019.59,2,543,0,0,0
84,1,1,1,90307.62,159235.29,1,506,1,1,0
85,1,1,8,0.0,1907.66,2,493,1,0,0
86,1,3,15,0.0,114675.75,2,652,1,1,0
87,1,3,12,121681.82,128643.35,1,750,1,0,1
88,1,1,1,0.0,151869.35,2,729,1,0,0
89,1,1,9,0.0,93251.42,3,646,1,0,1
90,1,2,1,81623.67,156791.36,2,635,1,1,0
91,1,3,4,0.0,174205.22,3,647,1,1,1
92,1,1,4,118626.55,147132.46,2,808,1,0,0
93,1,1,6,0.0,109614.57,2,524,1,0,0
94,1,1,1,0.0,172290.61,2,769,1,1,0
95,1,3,6,0.0,85982.47,2,730,0,1,0
96,1,3,3,176273.95,121277.78,1,515,0,1,0
97,1,3,5,102827.44,64595.25,1,773,0,1,0
98,1,2,1,97086.4,197276.13,2,814,1,1,0
99,1,3,12,0.0,99645.04,2,710,0,0,0
100,1,1,2,0.0,6534.18,2,413,0,0,0
101,1,1,4,0.0,161848.03,1,665,1,1,0
102,1,1,4,0.0,167162.43,2,623,0,0,0
103,1,1,2,82674.15,41970.72,1,738,1,0,0
104,1,3,5,0.0,60536.56,2,528,1,0,0
105,1,3,13,0.0,177655.68,1,670,1,1,1
106,1,3,8,107073.27,30984.59,2,622,1,1,1
107,1,2,2,88938.62,10054.53,1,582,1,1,0
108,1,2,5,99806.85,36976.52,1,785,0,1,0
109,1,3,3,150092.8,71862.79,1,605,0,0,0
110,1,2,3,92833.89,99449.86,1,479,1,0,1
111,1,2,2,90536.81,63082.88,1,685,0,1,0
112,1,2,5,108055.1,27231.26,2,538,1,0,0
113,1,1,6,100238.35,86797.41,1,562,0,0,0
114,1,3,5,106190.55,22994.32,1,675,0,1,0
115,1,2,3,154475.54,101300.94,2,721,0,1,1
116,1,2,3,132351.29,74169.13,2,628,1,1,0
117,1,2,6,167864.4,115638.29,1,668,1,0,0
118,1,1,5,0.0,31766.3,2,506,1,0,0
119,1,2,1,107818.63,199725.39,1,524,1,0,1
120,1,2,3,185173.81,120834.48,2,699,1,0,0
121,1,1,2,129433.34,38131.77,2,828,0,0,0
122,1,3,6,120193.42,100130.95,1,674,0,0,0
123,1,1,4,0.0,141069.88,2,656,1,0,0
124,1,2,7,126384.42,198129.36,1,684,1,1,0
125,1,1,1,0.0,183646.41,1,625,0,0,0
126,1,1,6,152603.45,110265.24,1,432,1,0,1
127,1,1,8,0.0,8636.05,1,549,0,1,1
128,1,2,14,148507.24,46824.08,1,625,1,0,1
129,1,1,4,0.0,171378.77,2,828,1,0,0
130,1,1,10,101827.07,167256.35,1,770,1,0,0
131,1,1,3,0.0,124226.16,2,758,1,1,0
132,1,2,3,130862.43,114935.21,1,795,1,1,0
133,1,1,5,122570.87,35608.88,1,687,1,1,0
134,1,1,11,0.0,16459.37,2,686,0,1,0
135,1,2,6,124828.46,124411.08,2,789,1,1,0
136,1,2,8,144895.05,34941.23,2,589,1,1,0
137,1,2,1,63663.93,167784.28,1,461,0,1,0
138,1,1,6,133463.1,93165.34,1,637,0,1,0
139,1,3,9,213146.2,75161.25,1,584,1,0,1
140,1,3,2,129490.36,8590.83,2,579,0,1,1
141,1,2,4,137452.09,189543.9,1,756,1,0,0
142,1,1,1,0.0,180427.24,2,663,1,1,0
143,1,1,4,125851.93,193318.33,1,682,1,1,0
144,1,3,7,0.0,159123.82,1,793,1,0,1
145,1,1,3,40915.55,126213.84,1,691,1,0,1
146,1,3,11,113157.22,54141.5,1,485,1,1,0
147,1,3,1,138296.94,141075.51,2,635,1,0,0
148,1,1,5,106967.18,24495.03,1,650,0,0,0
149,1,1,6,120681.63,74836.34,1,735,1,0,0
150,1,1,2,0.0,878.87,2,416,0,1,0
151,1,3,3,0.0,89520.75,2,754,1,0,0
152,1,1,7,0.0,149892.79,1,535,1,0,1
153,1,3,4,0.0,180800.42,2,716,1,0,0
154,1,1,6,127609.59,98646.22,1,539,1,0,0
155,1,1,6,0.0,109041.53,2,614,1,1,0
156,1,3,14,0.0,17941.16,1,706,1,0,1
157,1,1,3,0.0,82996.47,2,758,0,0,0
158,1,3,3,0.0,92067.35,2,586,1,1,0
159,1,1,15,97259.25,104719.66,1,646,0,1,0
160,1,2,3,123246.7,112687.57,1,631,0,0,0
161,1,3,12,101060.25,84699.56,1,717,0,1,0
162,1,1,3,0.0,83473.82,2,684,1,0,0
163,1,1,8,108007.36,47125.11,1,800,0,0,0
164,1,3,6,0.0,106977.8,2,721,1,1,0
165,1,3,2,133702.89,55582.54,1,683,1,0,1
166,1,2,1,125189.75,139874.43,2,660,1,1,0
167,1,2,10,113034.22,162503.48,1,704,1,0,1
168,1,3,4,109013.23,196499.96,1,615,1,0,0
169,1,3,5,0.0,40721.24,2,667,1,0,1
170,1,2,11,57929.81,53134.3,2,682,0,0,0
171,1,1,1,130114.39,164017.89,1,484,1,0,0
172,1,2,1,95826.49,155996.96,2,628,1,0,0
173,1,2,5,129608.57,5472.7,1,480,1,0,1
174,1,1,3,169462.09,112187.11,1,578,1,0,0
175,1,1,4,0.0,146457.83,2,512,1,1,0
176,1,3,2,133868.21,27286.1,1,484,1,1,0
177,1,1,3,0.0,130553.47,2,510,1,1,0
178,1,2,4,190479.48,179351.89,2,606,0,0,0
179,1,3,6,101993.12,94774.12,1,597,0,1,0
180,1,2,8,161608.81,8080.85,1,754,1,0,1
181,1,3,5,122311.21,19482.5,1,850,1,1,0
182,1,1,14,0.0,48071.61,2,510,1,1,0
183,1,2,4,162150.42,174531.27,2,778,1,0,0
184,1,1,5,0.0,55470.78,2,636,1,1,0
185,1,1,8,0.0,8546.87,1,804,1,1,1
186,1,1,3,0.0,95857.18,2,514,1,0,0
187,1,1,4,99010.67,194945.8,1,730,1,0,0
188,1,3,6,0.0,131521.72,1,525,0,1,0
189,1,3,1,0.0,196108.51,2,616,0,1,0
190,1,2,1,111388.18,148564.76,2,687,1,0,0
191,1,1,6,56214.85,92982.61,2,715,0,0,1
192,1,1,5,84327.77,17675.36,2,512,1,0,0
193,1,1,6,0.0,114996.43,2,479,0,0,0
194,1,1,3,93012.89,86957.42,1,601,1,0,0
195,1,3,3,61710.44,128077.8,2,580,1,0,0
196,1,1,2,174790.15,600.36,1,807,1,1,0
197,1,3,2,0.0,43001.46,2,616,1,1,0
198,1,2,4,107720.64,158591.12,1,721,1,1,0
199,1,1,14,0.0,47847.19,2,501,1,1,0
200,1,1,2,96423.84,10488.44,1,521,1,0,0
201,1,3,2,141040.01,5978.2,1,850,1,1,0
202,1,1,6,105420.18,121409.06,1,759,0,1,0
203,1,3,7,0.0,146145.93,1,516,0,1,1
204,1,1,5,129022.06,14374.86,2,711,1,1,1
205,1,3,3,176666.62,94670.77,1,512,1,0,0
206,1,1,4,0.0,179670.31,1,550,1,1,0
207,1,3,4,89763.84,199304.74,1,608,0,0,1
208,1,1,1,134954.53,151954.39,1,618,1,1,0
209,1,1,4,0.0,142513.5,1,643,1,0,1
210,1,1,4,106376.85,158264.62,1,671,0,1,0
211,1,2,1,161814.64,169381.9,2,689,1,0,0
212,1,1,1,0.0,169915.02,2,603,1,1,0
213,1,1,6,0.0,88852.47,2,620,0,0,0
214,1,1,2,63095.01,40645.81,1,676,1,1,0
215,1,2,2,118287.01,60427.3,2,572,0,0,0
216,1,2,7,106854.21,157959.02,1,668,0,1,1
217,1,1,7,49512.55,133007.34,1,695,1,0,0
218,1,3,1,0.0,176576.62,2,730,0,0,0
219,1,1,5,105799.32,34888.04,2,807,1,0,1
220,1,1,8,0.0,28737.71,1,592,1,1,1
221,1,1,3,114722.05,98178.57,2,726,1,1,0
222,1,3,3,0.0,125010.24,1,514,0,1,0
223,1,1,4,0.0,167984.61,2,567,1,1,0
224,1,1,2,0.0,4861.72,1,850,1,0,1
225,1,2,6,99564.22,108872.45,1,671,1,1,1
226,1,1,4,170557.91,198252.88,2,670,1,0,0
227,1,1,2,0.0,26960.31,2,694,1,1,0
228,1,2,6,74596.15,85746.52,3,547,1,1,1
229,1,2,9,96888.39,77206.25,1,751,1,0,1
230,1,2,2,130830.22,61048.53,1,594,1,0,0
231,1,1,15,0.0,111981.19,2,673,0,1,0
232,1,1,5,0.0,62232.6,2,610,1,0,0
233,1,1,4,0.0,156105.03,2,512,0,1,0
234,1,2,10,119714.25,150135.38,2,767,0,1,0
235,1,1,15,113978.97,93146.11,2,585,0,1,0
236,1,2,5,100160.75,33462.94,1,763,1,0,1
237,1,1,1,0.0,144375.0,1,712,1,1,0
238,1,2,5,116220.5,55803.96,3,539,1,0,1
239,1,1,9,0.0,89048.46,3,668,1,0,1
240,1,1,1,81173.83,162812.16,2,703,0,1,0
241,1,3,4,0.0,136259.65,2,662,1,0,0
242,1,2,6,116803.8,124052.97,1,725,1,0,0
243,1,1,6,105961.68,74158.8,2,703,0,1,0
244,1,2,14,117411.6,45071.09,1,659,1,1,1
245,1,3,2,0.0,62030.06,2,523,1,0,0
246,1,1,6,123497.58,131953.23,1,635,1,0,1
247,1,2,3,152400.51,79414.0,2,772,1,0,0
248,1,1,1,0.0,199638.56,2,545,1,1,0
249,1,2,10,103097.85,157577.29,1,634,1,1,0
250,1,2,7,126418.14,134420.75,1,739,1,0,1
251,1,2,6,77846.9,99805.99,1,771,0,0,0
252,1,3,3,0.0,97932.68,2,587,1,1,0
253,1,1,13,0.0,170968.99,2,681,0,1,0
254,1,2,5,79731.91,57558.95,1,544,1,1,0
255,1,3,1,0.0,176713.47,1,696,0,0,0
256,1,3,5,0.0,34283.23,2,766,0,1,0
257,1,1,1,0.0,198637.34,2,727,1,1,0
258,1,2,1,37266.67,156917.12,2,671,0,0,0
259,1,1,2,127992.25,50457.2,1,693,1,1,0
260,1,2,4,54901.01,140075.55,1,850,1,1,0
261,1,2,5,108748.08,65323.11,2,732,1,1,0
262,1,3,8,99906.19,64323.24,1,726,1,0,0
263,1,1,2,184686.41,14956.44,2,557,1,0,0
264,1,1,3,110654.02,111879.21,1,682,0,1,0
265,1,3,2,79019.8,18606.23,1,738,1,1,0
266,1,3,6,99240.51,123137.01,1,531,1,0,0
267,1,1,1,0.0,148528.24,2,498,1,1,0
268,1,1,5,0.0,13898.31,2,651,1,0,0
269,1,3,6,0.0,81259.25,1,549,0,0,1
270,1,2,1,52436.2,161051.75,1,791,1,0,0
271,1,3,4,0.0,191599.67,2,650,0,1,0
